origin,community_url,ends_at,gallery_url,has_finished,has_started,hashtags,hostname,id,location,location_lat,location_lon,logo_url,name,starts_at,summary,webpage_url
hack.opendata.ch,https://twitter.com/hashtag/energyDataHackdays,"Sat, 17 Sep 2022 16:00:00 GMT",,True,False,,Hightech Zentrum Aargau,52,Brugg,0.0,0.0,https://opendata.ch/wordpress/files/2022/07/Logo_EnergyDataHackdays-2022_gross-1024x402.png,Energy Data Hackdays 2022,"Fri, 16 Sep 2022 09:00:00 GMT","Energy companies, public administrations and other organisations make data available for the development of creative ideas and prototypes.",https://energydatahackdays.ch/
hack.opendata.ch,,"Sat, 03 Sep 2022 16:00:00 GMT",,True,False,,Landwirtschaftliches Zentrum Liebegg,54,Gränichen (AG),0.0,0.0,https://image.jimcdn.com/app/cms/image/transf/dimension=379x10000:format=png/path/sf35aa3075d2f438e/image/i5e98552308d8db7f/version/1619514992/image.png,Open Farming Hackdays 2022,"Fri, 02 Sep 2022 09:00:00 GMT",Gestalte die Landwirtschaft von morgen mit!,https://www.farming-hackdays.ch/
hack.opendata.ch,https://openlegallab.slack.com/,"Mon, 28 Mar 2022 15:30:00 GMT",,True,False,,Opendata.ch und eJustice,60,Magglingen,0.0,0.0,https://opendata.ch/wordpress/files/2022/01/Open-Legal-lab-2022-2048x1444.jpg,Open Legal Lab 2022,"Sun, 27 Mar 2022 08:00:00 GMT",Legal tech enthusiasts worked together at the first Open Legal Lab in Magglingen to solve twelve challenges from the legal field.,https://opendata.ch/events/open-legal-lab-2022/
hack.opendata.ch,https://twitter.com/hashtag/DataHackdaysBE?src=hashtag_click,"Sat, 13 Nov 2021 14:30:00 GMT",,True,False,,KAIO,45,Rathaus Bern,0.0,0.0,https://bucketeer-036aa605-c047-4623-8610-f1764b90cf98.s3.amazonaws.com/public/OH08WH90CFBV1PGXDFJURRJM.png,Data Hackdays BE 2021,"Fri, 12 Nov 2021 09:00:00 GMT",Gemeinsam wollen wir den Kanton Bern und deren Verwaltung digital vorwärtsbringen mit einem einfacheren Zugang zu Daten und Informationen.,
hack.opendata.ch,,"Sat, 16 Oct 2021 17:00:00 GMT",,True,False,,Stadt Lenzburg,44,"Aula Schulaus Bleicherain, Lenzburg",0.0,0.0,https://opendata.ch/wordpress/files/2020/09/200212_Lenzburg_Banner-1024x314-1.jpg,Smart Regio Lab - Lenzburg Seetal,"Fri, 15 Oct 2021 09:00:00 GMT","Nimm teil und entwickle in interdisziplinären Teams neue digitale Lösungen, um unsere intelligenten Städte und Regionen zu mitgestalten!",https://opendata.ch/projects/smartregiolab21
hack.opendata.ch,https://twitter.com/hashtag/energyDataHackdays,"Sat, 25 Sep 2021 15:00:00 GMT",,True,False,,Hightech Zentrum Aargau,46,Brugg,0.0,0.0,https://opendata.ch/wordpress/files/2021/09/Logo_EnergyDataHackdays-e1621958325678.png,Energy Data Hackdays 2021,"Fri, 24 Sep 2021 08:30:00 GMT","Energy companies, public administrations and other organisations make data available for the development of creative ideas and prototypes. ",https://energydatahackdays.ch/
hack.opendata.ch,https://openfarminghackdays.slack.com/,"Sat, 04 Sep 2021 15:00:00 GMT",,True,False,,"Landwirtschaftliches Zentrum Liebegg, Gränichen (AG)",43, Landwirtschaftliches Zentrum Liebegg,0.0,0.0,https://forum.opendata.ch/uploads/default/original/1X/b0c084524b6c5b5515b99db77f79a7c78dfcf416.jpeg,Open Farming Hackdays 2021,"Fri, 03 Sep 2021 09:00:00 GMT","Vom 3.-4. September fanden am Landwirtschaftlichen Zentrum Liebegg in Gränichen die Open Farming Hackdays zum zweiten Mal, statt. ",https://www.farming-hackdays.ch/
hack.opendata.ch,https://twitter.com/OpendataCH,"Wed, 01 Sep 2021 13:45:00 GMT",,True,False,,"Swisspower, the British Embassy, Opendata ",36,Virtual / Bern,0.0,0.0,https://opendata.ch/wordpress/files/2021/02/Energy-and-Climate-Hack_Visual_Title-1024x274-2-e1618831224711.jpg,Energy & Climate Hack,"Tue, 31 Aug 2021 09:00:00 GMT",The two-day hackathon to connect young talents from Switzerland and the UK to develop new ideas for decarbonisation efforts.,
hack.opendata.ch,https://twitter.com/hashtag/agricathon,"Wed, 02 Jun 2021 18:00:00 GMT",,True,False,,HES-SO Valais-Wallis,42,Online,0.0,0.0,https://upload.wikimedia.org/wikipedia/commons/b/bf/HES-SO_Valais-Wallis.png,Agricathon 2021,"Thu, 27 May 2021 14:30:00 GMT",Collaborer à la production de prototypes d’outils et de services innovants en lien avec l’agriculture.,https://agricathon.ch/
hack.opendata.ch,,"Sat, 08 May 2021 16:00:00 GMT",,True,False,,We.Publish & Opendata.ch ,41,online,0.0,0.0,https://opendata.ch/wordpress/files/2021/03/RZ_LOGO_HACKATHON_Ohne_DTM_RGB-e1614778770420.png,Rethink Journalism Hackathon,"Fri, 07 May 2021 09:00:00 GMT",,https://opendata.ch/projects/rethink-journalism-hackathon-may-7th-8th-2021/
